APP_NUMBER,AMOUNT_FUNDED,INDUSTRY,COUNTRY,ANNUAL_REVENUE,YEARS_IN_BUS,FUNDED_DATE
CD2111161158,90954.3,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,11/17/2021
CD2112150908,47195,SHORT-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",10+ years,3/4/2022
CD2203290472,67745.5,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,4/15/2022
CD2104080880,25000,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,5/26/2021
CD2111160138,204296.28,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,12/15/2021
CD2112150984,22199.45,LONG-HAUL TRANSPORTATION,CAN,"500,000 - 1,000,000",4 years,3/10/2022
CD2109030814,159301.36,SHORT-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,12/8/2021
CD2104080395,11476.81,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",5 years,4/23/2021
CD2112100801,251295,AGRICULTURE,CAN,"1,000,000 - 5,000,000",10+ years,12/17/2021
CD2112160311,68600,MANUFACTURING,CAN,"5,000,000 - 10,000,000",10+ years,12/20/2021
CD2109030507,83504.72,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,9/21/2021
CD2104121041,132766.19,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,5/5/2021
CD2109161042,12252.75,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",1 year,9/30/2021
CD2112151156,31295,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",4 years,1/13/2022
CD2109030982,25440,SHORT-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",6 years,9/10/2021
CD2104070784,144950.89,CONSTRUCTION,USA,"1,000,000 - 5,000,000",7 years,4/13/2021
CD2203280629,46290,FORESTRY,CAN,"500,000 - 1,000,000",10+ years,4/22/2022
CD2112151153,29213.25,CONSTRUCTION,CAN,"500,000 - 1,000,000",9 years,3/22/2022
CD2203290405,34628.61,CONSTRUCTION,USA,"Under 250,000",5 years,3/31/2022
CD2104071031,13740,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",2 years,5/14/2021
CD2109080268,92933.12,FORESTRY,USA,"Over 10,000,000",10+ years,12/9/2021
CD2112160379,17500,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,12/20/2021
CD2109031165,54090,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",7 years,9/9/2021
CD2106070549,38874.88,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,6/8/2021
CD2111150713,13764.31,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",5 years,12/24/2021
CD2103051089,40995.43,CONSTRUCTION,USA,"5,000,000 - 10,000,000",10+ years,6/29/2021
CD2112090824,109095,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,12/13/2021
CD2104080563,52245,AGRICULTURE,CAN,"250,000 - 500,000",10+ years,4/14/2021
CD2203311156,11342.28,AGRICULTURE,USA,"250,000 - 500,000",6 years,4/11/2022
CD2112151054,27190.4,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,3/25/2022
CD2109030426,167732.05,CONSTRUCTION,USA,"250,000 - 500,000",5 years,9/24/2021
CD2104080979,34731.67,CONSTRUCTION,USA,"Under 250,000",7 years,4/12/2021
CD2110280746,19961.29,CONSTRUCTION,USA,"Under 250,000",10+ years,11/1/2021
CD2103090382,13720,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",6 years,3/17/2021
CD2109031159,15699.44,SHORT-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",8 years,9/8/2021
CD2104080790,149836.16,CONSTRUCTION,USA,"Over 10,000,000",10+ years,4/9/2021
CD2110280975,75290,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",3 years,11/10/2021
CD2102220328,16491.2,MANUFACTURING,CAN,"Under 250,000",10+ years,3/16/2021
CD2109030676,14659.1,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,9/14/2021
CD2104070991,15731.62,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",7 years,4/12/2021
CD2203280509,66037.28,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,3/31/2022
CD2112151170,80185.28,SHORT-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",9 years,12/20/2021
CD2112090806,85345,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,12/20/2021
CD2104130004,24795,CONSTRUCTION,CAN,"Under 250,000",4 years,4/16/2021
CD2111150543,21833.15,CONSTRUCTION,USA,"Under 250,000",3 years,11/17/2021
CD2112151059,21695,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,3/21/2022
CD2111291126,40056,CONSTRUCTION,USA,"250,000 - 500,000",5 years,12/1/2021
CD2104090494,44285,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,4/20/2021
CD2203280586,75427.21,CONSTRUCTION,USA,"Under 250,000",4 years,3/29/2022
CD2104210619,147365,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,4/27/2021
CD2111290723,150995,FORESTRY,CAN,"1,000,000 - 5,000,000",10+ years,12/13/2021
CD2104080218,25956,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",9 years,7/15/2021
CD2109080398,17342.33,LONG-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",9 years,12/15/2021
CD2105310629,166685,LONG-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",10+ years,7/9/2021
CD2110061108,23012.5,AGRICULTURE,USA,"Under 250,000",10+ years,11/4/2021
CD2104121065,38265,RENTAL COMPANY,USA,"250,000 - 500,000",10+ years,7/13/2021
CD2110280881,270662,CONSTRUCTION,CAN,"500,000 - 1,000,000",9 years,10/29/2021
CD2112151107,80712.79,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",8 years,12/23/2021
CD2109030639,47895,CONSTRUCTION,USA,"500,000 - 1,000,000",8 years,11/24/2021
CD2105210996,236682.4,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,5/27/2021
CD2112100835,118905,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,12/15/2021
CD2112151151,85736.32,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,12/21/2021
CD2109030711,113302.17,SHORT-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",10+ years,9/13/2021
CD2105210794,74035,CONSTRUCTION,USA,"5,000,000 - 10,000,000",10+ years,5/26/2021
CD2111150534,29339.3,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",2 years,12/23/2021
CD2112160473,151698,RENTAL COMPANY,CAN,"5,000,000 - 10,000,000",10+ years,4/6/2022
CD2110070772,63790,LONG-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",10+ years,10/12/2021
CD2105050462,29925,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",7 years,5/5/2021
CD2112101231,11308.23,OTHER,USA,"Under 250,000",10+ years,12/15/2021
CD2112151145,21955.21,SHORT-HAUL TRANSPORTATION,USA,"250,000 - 500,000",8 years,12/20/2021
CD2109200412,32235,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,9/30/2021
CD2106240598,78600,CONSTRUCTION,CAN,"Over 10,000,000",10+ years,12/10/2021
CD2112130202,19434.94,AGRICULTURE,CAN,"250,000 - 500,000",10+ years,12/14/2021
CD2105130386,40495,RENTAL COMPANY,CAN,"5,000,000 - 10,000,000",10+ years,5/18/2021
CD2109200392,93812.48,CONSTRUCTION,USA,"250,000 - 500,000",7 years,12/7/2021
CD2105050375,26545,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,5/7/2021
CD2111160504,90635,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",5 years,11/17/2021
CD2105130262,108067,FORESTRY,CAN,"5,000,000 - 10,000,000",10+ years,5/20/2021
CD2109030633,18595,AGRICULTURE,CAN,"500,000 - 1,000,000",10+ years,2/2/2022
CD2105050449,25391.85,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,5/10/2021
CD2112100843,103892.8,SHORT-HAUL TRANSPORTATION,CAN,"250,000 - 500,000",10+ years,12/15/2021
CD2104210728,36694,SHORT-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",7 years,7/30/2021
CD2111290475,31096.5,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,12/2/2021
CD2107160352,129908.03,AGRICULTURE,USA,"1,000,000 - 5,000,000",10+ years,8/13/2021
CD2111150653,77097.08,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",0 years,12/10/2021
CD2105130273,38104.54,SHORT-HAUL TRANSPORTATION,USA,"250,000 - 500,000",9 years,5/31/2021
CD2112100508,79824.3,OTHER,USA,"1,000,000 - 5,000,000",10+ years,1/27/2022
CD2105050521,61662.66,AGRICULTURE,CAN,"1,000,000 - 5,000,000",10+ years,5/6/2021
CD2112101228,37448.64,AGGREGATE,USA,"1,000,000 - 5,000,000",10+ years,12/15/2021
CD2104210737,19776.75,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",4 years,5/26/2021
CD2109031180,52371.59,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,9/7/2021
CD2104090205,39412.16,CONSTRUCTION,USA,"250,000 - 500,000",7 years,4/15/2021
CD2109280763,32705,CONSTRUCTION,CAN,"250,000 - 500,000",9 years,10/12/2021
CD2105310645,152158.39,CONSTRUCTION,CAN,"5,000,000 - 10,000,000",9 years,6/2/2021
CD2109200327,302785,CONSTRUCTION,CAN,"Over 10,000,000",10+ years,10/12/2021
CD2107160294,28967,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",6 years,7/20/2021
CD2109280845,36495,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,9/29/2021
CD2108310820,37007.5,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",8 years,9/20/2021
CD2109200661,108495,AGRICULTURE,CAN,"500,000 - 1,000,000",10+ years,9/28/2021
CD2104140307,27083.49,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,5/7/2021
CD2111301229,182245.5,AGRICULTURE,CAN,"250,000 - 500,000",10+ years,1/27/2022
CD2112160543,15460,SHORT-HAUL TRANSPORTATION,CAN,"Under 250,000",1 year,12/16/2021
CD2109031163,129995,RENTAL COMPANY,USA,"1,000,000 - 5,000,000",10+ years,9/13/2021
CD2106070334,83096.02,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,6/24/2021
CD2111160401,36820.17,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,12/6/2021
CD2112160394,35041.14,CONSTRUCTION,USA,"1,000,000 - 5,000,000",6 years,12/23/2021
CD2112090919,135487.51,AGRICULTURE,CAN,"1,000,000 - 5,000,000",10+ years,12/13/2021
CD2104070405,28060.98,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",10+ years,5/4/2021
CD2111301194,19400,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",2 years,12/31/2021
CD2112160537,50303.78,CONSTRUCTION,USA,"Under 250,000",5 years,12/29/2021
CD2111290762,62885,SHORT-HAUL TRANSPORTATION,USA,"Over 10,000,000",10+ years,12/6/2021
CD2106070283,47599.29,CONSTRUCTION,USA,"500,000 - 1,000,000",3 years,6/7/2021
CD2109280351,438277.7,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",4 years,10/12/2021
CD2105130277,64829.93,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,5/17/2021
CD2112091049,18959,MATERIAL HANDLING,USA,"Under 250,000",10+ years,12/21/2021
CD2104121297,45915.93,CONSTRUCTION,CAN,"Under 250,000",1 year,6/21/2021
CD2109280806,42025,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,10/15/2021
CD2204191137,64245.07,CONSTRUCTION,USA,"Under 250,000",10+ years,4/21/2022
CD2203290534,77076.25,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,4/1/2022
CD2106240758,28195,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",5 years,7/16/2021
CD2111300067,73814.66,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,1/27/2022
CD2105310924,46785,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",4 years,8/31/2021
CD2111290952,53254.13,CONSTRUCTION,CAN,"Under 250,000",10+ years,12/6/2021
CD2104070722,44605,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,5/19/2021
CD2109280564,68245.5,SHORT-HAUL TRANSPORTATION,CAN,"500,000 - 1,000,000",10+ years,9/30/2021
CD2102221014,73938.5,RENTAL COMPANY,CAN,"1,000,000 - 5,000,000",10+ years,5/12/2021
CD2112090287,35111.49,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",7 years,12/10/2021
CD2104121332,109565,AGRICULTURE,CAN,"1,000,000 - 5,000,000",10+ years,4/26/2021
CD2111160657,149769.02,CONSTRUCTION,USA,"250,000 - 500,000",8 years,11/29/2021
CD2102220648,86786.34,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,5/6/2021
CD2111300358,41695,SHORT-HAUL TRANSPORTATION,USA,"250,000 - 500,000",6 years,3/25/2022
CD2105211003,219424.25,CONSTRUCTION,CAN,"500,000 - 1,000,000",3 years,6/2/2021
CD2109280779,84851.19,SHORT-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",4 years,10/4/2021
CD2102220733,17916.5,CONSTRUCTION,USA,"Under 250,000",10+ years,2/23/2021
CD2109031167,31421.85,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",7 years,9/8/2021
CD2106240780,96390,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",10+ years,9/8/2021
CD2109280569,22945,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,11/19/2021
CD2102050659,43957,OTHER,CAN,"500,000 - 1,000,000",10+ years,2/8/2021
CD2111300366,110995,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,12/18/2021
CD2112081145,106924.55,CONSTRUCTION,USA,"5,000,000 - 10,000,000",3 years,12/9/2021
CD2203230545,70146.58,OTHER,CAN,"250,000 - 500,000",10+ years,4/26/2022
CD2102050692,41217.8,LONG-HAUL TRANSPORTATION,CAN,"250,000 - 500,000",10+ years,3/24/2021
CD2111291127,31137.75,CONSTRUCTION,CAN,"Under 250,000",10+ years,12/13/2021
CD2104080312,99774.91,CONSTRUCTION,CAN,"Under 250,000",10+ years,11/9/2021
CD2110280937,30756.55,CONSTRUCTION,USA,"250,000 - 500,000",8 years,12/31/2021
CD2105310961,80795,CONSTRUCTION,CAN,"Under 250,000",10+ years,6/7/2021
CD2109031181,46203,SHORT-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,10/7/2021
CD2105211068,63885.8,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",6 years,6/9/2021
CD2109280433,72140,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",10+ years,2/22/2022
CD2102230134,58982.8,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,3/29/2021
CD2112091258,68600,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",8 years,12/13/2021
CD2108200580,31049.37,SHORT-HAUL TRANSPORTATION,USA,"250,000 - 500,000",10+ years,8/31/2021
CD2109090558,34911.25,AGGREGATE,CAN,"1,000,000 - 5,000,000",10+ years,9/13/2021
CD2102051096,43085,RENTAL COMPANY,USA,"Under 250,000",4 years,3/5/2021
CD2108181101,139995,SHORT-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",8 years,8/30/2021
CD2106070232,11310,SHORT-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",10+ years,7/21/2021
CD2109090526,99000.11,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,12/21/2021
CD2204201135,51480.28,CONSTRUCTION,USA,"1,000,000 - 5,000,000",9 years,5/2/2022
CD2111080281,140102.6,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",10+ years,2/2/2022
CD2106070434,54188,AGGREGATE,USA,"Under 250,000",4 years,8/6/2021
CD2109090523,29500,DEALER,USA,"5,000,000 - 10,000,000",10+ years,9/13/2021
CD2102230749,100897.84,LONG-HAUL TRANSPORTATION,USA,"Over 10,000,000",10+ years,2/24/2021
CD2111080362,89148.7,LONG-HAUL TRANSPORTATION,USA,"Over 10,000,000",2 years,3/8/2022
CD2105210969,16069.25,CONSTRUCTION,USA,"250,000 - 500,000",4 years,5/31/2021
CD2109090413,34403,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",9 years,12/9/2021
CD2102230959,45747.6,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",2 years,3/4/2021
CD2111150310,60995,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,1/17/2022
CD2106070671,45995,AGRICULTURE,CAN,"500,000 - 1,000,000",10+ years,7/26/2021
CD2109090496,26245.1,AGRICULTURE,USA,"Under 250,000",6 years,9/9/2021
CD2202010682,92615,DEALER,USA,"5,000,000 - 10,000,000",10+ years,2/10/2022
CD2111080368,86795,AGRICULTURE,CAN,"1,000,000 - 5,000,000",10+ years,11/15/2021
CD2103301099,9120,CONSTRUCTION,USA,"1,000,000 - 5,000,000",8 years,4/9/2021
CD2109090567,52555.25,AGRICULTURE,CAN,"500,000 - 1,000,000",10+ years,9/9/2021
CD2204201004,13710.7,CONSTRUCTION,USA,"Under 250,000",10+ years,4/21/2022
CD2111080315,73634.3,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,11/15/2021
CD2108200420,51653.09,SHORT-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",5 years,9/8/2021
CD2109090486,25237.44,AGGREGATE,CAN,"250,000 - 500,000",10+ years,3/16/2022
CD2109101063,28210,SHORT-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,12/14/2021
CD2111080822,34828.31,SHORT-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,12/7/2021
CD2106070641,50792.8,CONSTRUCTION,USA,"1,000,000 - 5,000,000",9 years,6/29/2021
CD2109090387,67048.88,RENTAL COMPANY,USA,"250,000 - 500,000",6 years,9/14/2021
CD2102080195,99850,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,2/26/2021
CD2109250093,101610.2,CONSTRUCTION,CAN,"Under 250,000",7 years,9/28/2021
CD2105210888,328475.9,LONG-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",10+ years,6/10/2021
CD2109090538,108278.35,AGRICULTURE,CAN,"500,000 - 1,000,000",8 years,9/23/2021
CD2105310937,43867.93,AGRICULTURE,CAN,"250,000 - 500,000",8 years,6/3/2021
CD2109220509,23370.63,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",4 years,10/14/2021
CD2105040889,26497.37,AGRICULTURE,CAN,"1,000,000 - 5,000,000",10+ years,7/21/2021
CD2109090534,141148.99,CONSTRUCTION,CAN,"250,000 - 500,000",10+ years,10/5/2021
CD2201130632,112181.75,AGRICULTURE,CAN,"Under 250,000",10+ years,1/27/2022
CD2111080403,88598.46,CONSTRUCTION,USA,"5,000,000 - 10,000,000",9 years,2/8/2022
CD2105040855,34578.66,CONSTRUCTION,CAN,"250,000 - 500,000",10+ years,5/18/2021
CD2109090396,25500,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",10+ years,11/12/2021
CD2201130710,108221.75,AGGREGATE,CAN,"1,000,000 - 5,000,000",10+ years,2/22/2022
CD2109030776,28640.75,SHORT-HAUL TRANSPORTATION,CAN,"Under 250,000",1 year,11/3/2021
CD2104091015,52785,CONSTRUCTION,CAN,"Under 250,000",4 years,6/8/2021
CD2109090458,241681,SHORT-HAUL TRANSPORTATION,USA,"Over 10,000,000",9 years,9/16/2021
CD2201130511,56431.01,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",3 years,1/31/2022
CD2109031058,95765,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,10/21/2021
CD2105040928,78432.49,LONG-HAUL TRANSPORTATION,CAN,"500,000 - 1,000,000",5 years,5/18/2021
CD2109090678,31286.19,CONSTRUCTION,USA,"Under 250,000",5 years,10/12/2021
CD2201130674,129768.42,CONSTRUCTION,USA,"5,000,000 - 10,000,000",10+ years,2/4/2022
CD2112100649,64885,CONSTRUCTION,CAN,"500,000 - 1,000,000",5 years,12/15/2021
CD2105041120,16460,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,5/6/2021
CD2109090430,47789.32,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,9/15/2021
CD2201130774,12495.01,RENTAL COMPANY,USA,"1,000,000 - 5,000,000",10+ years,1/17/2022
CD2112100473,160945.68,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,12/14/2021
CD2106250072,70035,CONSTRUCTION,CAN,"250,000 - 500,000",10+ years,6/30/2021
CD2109090515,28152.25,SHORT-HAUL TRANSPORTATION,CAN,"5,000,000 - 10,000,000",10+ years,9/15/2021
CD2201130819,44357,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",4 years,4/19/2022
CD2111080653,130000,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",2 years,11/23/2021
CD2105041123,59300.38,SHORT-HAUL TRANSPORTATION,CAN,"500,000 - 1,000,000",10+ years,5/5/2021
CD2109090404,23609.4,CONSTRUCTION,USA,"250,000 - 500,000",7 years,10/28/2021
CD2201130884,65395.07,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,2/15/2022
CD2109030746,54978.88,RENTAL COMPANY,USA,"250,000 - 500,000",5 years,9/13/2021
CD2104090958,18064.06,CONSTRUCTION,USA,"Under 250,000",10+ years,4/13/2021
CD2203231000,47367.66,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",1 year,4/13/2022
CD2201130851,11711.4,CONSTRUCTION,USA,"Over 10,000,000",10+ years,1/19/2022
CD2112101129,74475,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",5 years,12/22/2021
CD2105040968,30625,SHORT-HAUL TRANSPORTATION,CAN,"250,000 - 500,000",9 years,7/23/2021
CD2109090650,12443.77,CONSTRUCTION,CAN,"Under 250,000",2 years,9/15/2021
CD2201130696,199966.09,AGRICULTURE,CAN,"250,000 - 500,000",4 years,1/25/2022
CD2203230320,64289.6,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,3/28/2022
CD2104121159,107475.19,CONSTRUCTION,USA,"5,000,000 - 10,000,000",5 years,6/23/2021
CD2109090487,25325.05,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",5 years,9/10/2021
CD2201050236,160909,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",4 years,1/14/2022
CD2112100928,26025,DEALER,USA,"250,000 - 500,000",3 years,12/14/2021
CD2107160377,222285,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,8/30/2021
CD2109090550,37918.75,SHORT-HAUL TRANSPORTATION,USA,"250,000 - 500,000",3 years,9/10/2021
CD2201050244,192904.65,OTHER,USA,"1,000,000 - 5,000,000",10+ years,1/7/2022
CD2203230636,16802.03,CONSTRUCTION,USA,"250,000 - 500,000",9 years,3/25/2022
CD2105041078,106460.41,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,5/11/2021
CD2110010429,79535,AGGREGATE,USA,"1,000,000 - 5,000,000",10+ years,10/8/2021
CD2201130690,50003.75,SHORT-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",7 years,4/6/2022
